행정구역별,연령별,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자,남자,여자
대전광역시,75 - 79세,4708,8660,6381,11636,9699,15795,13226,19020,14061,19756,15793,21464,16295,22015,16678,22200,17127,22346
대전광역시,80 - 84세,2123,4697,3270,6822,4563,9843,6750,12807,7501,14108,8174,14541,9024,15489,9803,16373,10185,16718
대전광역시,85세이상,912,2994,1407,4049,2407,6649,3378,9536,3663,10507,4057,11265,4533,12129,5024,13183,5648,14424
울산광역시,0 - 4세,43863,38383,30391,26951,28391,26164,30399,28758,29866,28370,28223,26630,26424,24903,24435,22924,21750,20692
울산광역시,5 - 9세,50855,42260,43837,38573,30386,27158,29405,27085,30044,27697,29930,27758,29557,27550,29532,27760,29269,27558
울산광역시,10 - 14세,42121,35561,49806,41764,43449,38367,30946,27548,29030,26129,28766,25810,28504,25921,28178,25874,28642,26382
울산광역시,15 - 19세,42392,38683,39434,32697,46769,36632,42198,35195,39835,33302,36583,31002,34433,28622,31852,26762,29197,24848
울산광역시,20 - 24세,39547,34980,39407,32405,34601,24912,46427,32862,46055,32141,44291,31388,42595,30471,40951,29194,39258,28702
울산광역시,25 - 29세,42248,44576,41019,37806,39855,35952,42924,32375,43427,33000,43260,32941,43594,33367,43548,32995,42971,32741
울산광역시,30 - 34세,50931,52581,45790,47041,44349,40993,49294,42029,46315,39612,42926,36535,40707,34004,39810,32655,39071,31871
울산광역시,35 - 39세,56523,53140,51617,53362,47004,48122,49651,44184,51058,45355,51408,45879,50903,46020,49032,44323,45468,41107
울산광역시,40 - 44세,50220,46672,55713,51718,52185,53400,51327,50406,48662,47270,47481,45391,46287,43388,46001,42493,46999,43202
울산광역시,45 - 49세,35354,31372,48298,45482,54554,50883,56073,55691,55095,56123,54251,54850,52547,53094,50955,51432,48975,49161
울산광역시,50 - 54세,24634,20359,33434,30403,46599,44528,56240,51770,55295,50628,54224,50972,54185,52249,54637,53634,53606,53795
울산광역시,55 - 59세,16027,14476,23310,19955,31807,29477,47354,44979,50553,48115,52379,49296,53366,50028,53237,49891,53128,49593
울산광역시,60 - 64세,11525,11981,14637,14235,20867,19156,30765,29366,33528,32453,35647,34838,38500,37471,41273,40329,43835,42832
울산광역시,65 - 69세,6999,9498,10346,12003,13253,14389,19561,18712,21084,20245,22744,21894,23702,23173,25279,24955,28034,28065
울산광역시,70 - 74세,3832,7252,6023,9384,8994,11901,12458,14531,12710,14292,13296,14458,14549,15310,16105,16428,17512,17860
울산광역시,75 - 79세,2120,5175,2978,6638,4841,8958,7259,11322,7936,11759,9052,12620,9794,13178,10146,13433,10472,13376
울산광역시,80 - 84세,1028,2774,1332,4138,2048,5835,3317,7404,3660,8079,4006,8435,4299,8917,4853,9335,5355,9733
울산광역시,85세이상,437,1731,659,2348,917,3977,1326,5474,1465,5845,1626,6287,1849,6655,2141,7310,2436,7927
경기도,0 - 4세,373529,343068,315871,295365,307459,291765,311848,296880,308993,294747,296246,282169,288581,274627,276443,262257,257213,244773
경기도,5 - 9세,415252,375540,411709,381163,328270,307190,321590,303219,328388,310329,330241,312334,329984,313045,332102,316005,333805,318536
경기도,10 - 14세,330852,307074,428706,392196,413012,384320,333421,311674,319827,300005,319076,301068,321256,304664,320316,304391,328666,311757
경기도,15 - 19세,331531,319700,340727,324658,426147,389513,409613,382192,399498,374626,383053,358230,367865,343941,353116,331601,335837,318685
경기도,20 - 24세,331626,315704,376380,360493,357162,328405,447814,393595,454093,396486,452960,396048,452265,395417,444948,389439,444969,402677
경기도,25 - 29세,391249,409505,399215,398525,416451,404664,429154,378519,444835,389632,470526,406178,496998,422601,517879,435743,531660,449136
경기도,30 - 34세,452077,463730,495165,504617,461923,462530,508729,465569,492343,447080,477664,428618,476558,422649,483344,423267,489226,429828
경기도,35 - 39세,495402,468564,520154,518184,537506,536753,536301,509286,551432,522083,568303,533541,585920,545819,582039,536297,564534,519205
경기도,40 - 44세,440648,384330,517694,483153,533139,526363,592425,566794,572150,547128,560690,537105,553658,526005,554175,524970,568811,538974
경기도,45 - 49세,274425,240557,443252,402647,507910,484993,574171,560810,592917,583333,610206,593907,616974,597067,619038,595149,608441,587170
경기도,50 - 54세,189882,178779,280181,261296,429542,407865,540691,513991,537301,509830,537785,517798,551060,540053,572780,565732,585288,581287
경기도,55 - 59세,149227,157136,200624,201858,273813,270888,458719,442068,493228,478532,516234,499759,536539,520205,544882,528605,546744,532658
경기도,60 - 64세,129267,149545,157933,176637,198526,211377,292108,296072,330267,333616,357073,359078,394929,394637,428906,427616,462472,461239
